"","Information","Value","Sample_ID","Genus_sp_lifestage","Number_counted","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"1","Sample_ID","20200617-1281_5m","20200617-1281_5m","B_longirostris_w_eggs","12","25","25","25","30","26","24","25","23","24","23","26","23",,,,,,,,
"2","Sample_date","20200617","20200617-1281_5m","B_longirostris_wo_eggs","231","16","22","18","16","15","15","18","16","18","15","15","15","16","20","18","23","15","22","15","15"
"3","Sample_site","1281_5m","20200617-1281_5m","D_mendotae_w_eggs","4","77","100","70","78",,,,,,,,,,,,,,,,
"4","Sample_time","10:00","20200617-1281_5m","D_mendotae_wo_eggs","155","40","66","57","60","55","55","41","60","50","61","47","74","60","48","29","50","50","79","43","48"
"5","Project","LEPAS","20200617-1281_5m","D_retrocurva_w_eggs",,,,,,,,,,,,,,,,,,,,,
"6","Water_body","Central Basin","20200617-1281_5m","D_retrocurva_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"7","Counter_name","CMD","20200617-1281_5m","Diaphanosoma_w_eggs",,,,,,,,,,,,,,,,,,,,,
"8","Date_counted","20210326","20200617-1281_5m","Diaphanosoma_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"9","Microscope_number","117546","20200617-1281_5m","B_coregoni_w_eggs","2","30","33",,,,,,,,,,,,,,,,,,
"10","mm_per_ocular_unit","0.0185","20200617-1281_5m","B_coregoni_wo_eggs","1","26",,,,,,,,,,,,,,,,,,,
"11","Subsampled_vol_mL","6","20200617-1281_5m","L_kindti_w_eggs",,,,,,,,,,,,,,,,,,,,,
"12","Diluted_vol_mL","2000","20200617-1281_5m","L_kindti_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"13","Meter_1","546529","20200617-1281_5m","D_pulex_w_eggs",,,,,,,,,,,,,,,,,,,,,
"14","Meter_2","546797","20200617-1281_5m","D_pulex_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"15","Revolutions","268","20200617-1281_5m","D_parvula_w_eggs","1","47",,,,,,,,,,,,,,,,,,,
"16","Depth_m","5","20200617-1281_5m","D_parvula_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"17","Surface_temp","13.61","20200617-1281_5m","B_longirostris_eggs","20","1","1","2","3","2","2","2","1","2","2","1","1",,,,,,,,
"18","Bottom_temp","10.57","20200617-1281_5m","D_mendotae_eggs","8","2","2","2","2",,,,,,,,,,,,,,,,
"19","Ave_temp","12.09","20200617-1281_5m","D_retrocurva_eggs",,,,,,,,,,,,,,,,,,,,,
"20","Secchi_depth_m","1.5","20200617-1281_5m","Diaphanosoma_eggs",,,,,,,,,,,,,,,,,,,,,
"21","Surface_DO","9.68","20200617-1281_5m","B_coregoni_eggs","2","1","1",,,,,,,,,,,,,,,,,,
"22","Bottom_DO","8.44","20200617-1281_5m","L_kindti_eggs",,,,,,,,,,,,,,,,,,,,,
"23","Latitude",,"20200617-1281_5m","Loose_Bosmina_eggs",,,,,,,,,,,,,,,,,,,,,
"24","Longitude",,"20200617-1281_5m","Loose_Cladoceran_eggs","1",,,,,,,,,,,,,,,,,,,,
"25","Net_diameter_m","0.5","20200617-1281_5m","Loose_Daphnia_eggs",,,,,,,,,,,,,,,,,,,,,
"26","Comments",,"20200617-1281_5m","D_parvula_eggs","1","1",,,,,,,,,,,,,,,,,,,
"27",,,"20200617-1281_5m","D_pulex_eggs",,,,,,,,,,,,,,,,,,,,,
"28",,,"20200617-1281_5m","A_vernalis_w_eggs",,,,,,,,,,,,,,,,,,,,,
"29",,,"20200617-1281_5m","A_vernalis_wo_eggs","1","41",,,,,,,,,,,,,,,,,,,
"30",,,"20200617-1281_5m","D_thomasi_w_eggs","4","49","50","52","45",,,,,,,,,,,,,,,,
"31",,,"20200617-1281_5m","D_thomasi_wo_eggs","83","39","46","38","42","38","49","37","40","48","39","42","38","51","41","38","40","38","36","42","48"
"32",,,"20200617-1281_5m","E_lacustris",,,,,,,,,,,,,,,,,,,,,
"33",,,"20200617-1281_5m","E_carolleeae_w_eggs","1","53",,,,,,,,,,,,,,,,,,,
"34",,,"20200617-1281_5m","E_carolleeae_wo_eggs","2","48","48",,,,,,,,,,,,,,,,,,
"35",,,"20200617-1281_5m","L_ashlandi_w_eggs",,,,,,,,,,,,,,,,,,,,,
"36",,,"20200617-1281_5m","L_ashlandi_wo_eggs","9","45","38","42","39","42","42","45","45","39",,,,,,,,,,,
"37",,,"20200617-1281_5m","L_minutus_w_eggs",,,,,,,,,,,,,,,,,,,,,
"38",,,"20200617-1281_5m","L_minutus_wo_eggs",,,,,,,,,,,,,,,,,,,,,
"39",,,"20200617-1281_5m","L_sicilis_w_eggs",,,,,,,,,,,,,,,,,,,,,
"40",,,"20200617-1281_5m","L_sicilis_wo_eggs","2","74","60",,,,,,,,,,,,,,,,,,
"41",,,"20200617-1281_5m","L_siciloides_w_eggs",,,,,,,,,,,,,,,,,,,,,
"42",,,"20200617-1281_5m","L_siciloides_wo_eggs","2","55","55",,,,,,,,,,,,,,,,,,
"43",,,"20200617-1281_5m","M_edax_w_eggs","3","56","60","58",,,,,,,,,,,,,,,,,
"44",,,"20200617-1281_5m","M_edax_wo_eggs","5","59","58","57","58","52",,,,,,,,,,,,,,,
"45",,,"20200617-1281_5m","S_oregonensis_w_eggs","1","60",,,,,,,,,,,,,,,,,,,
"46",,,"20200617-1281_5m","S_oregonensis_wo_eggs","9","61","57","54","59","58","60","55","58","53",,,,,,,,,,,
"47",,,"20200617-1281_5m","Diaptomidae_immature","60","40","43","55","40","29","58","47","52","34","46","37","43","56","46","53","56","50","57","49","50"
"48",,,"20200617-1281_5m","Temoridae_immature",,,,,,,,,,,,,,,,,,,,,
"49",,,"20200617-1281_5m","Cyclopidae_immature","466","28","34","24","32","33","22","21","22","23","28","27","19","18","31","27","22","32","26","25","34"
"50",,,"20200617-1281_5m","Calanoid_nauplii","90","8","25","9","8","6","9","9","6","6","5","7","9","8","8","7","6","5","6","6","7"
"51",,,"20200617-1281_5m","Cyclopoid_nauplii","88","5","6","6","5","10","5","7","7","6","6","5","6","9","10","11","11","9","5","8","8"
"52",,,"20200617-1281_5m","T_prasinus_mexicanus_w_eggs",,,,,,,,,,,,,,,,,,,,,
"53",,,"20200617-1281_5m","T_prasinus_mexicanus_wo_eggs",,,,,,,,,,,,,,,,,,,,,
